nevek	nem (1=férfi, 2=nő)
Kapisztrán	1
Kaplon	1
Kaplony	1
Kapolcs	1
Kara	1
Karacs	1
Karácson	1
Karád	1
Karcsa	1
Kardos	1
Karim	1
Karion	1
Kármán	1
Károly	1
Karsa	1
Kartal	1
Kászon	1
Kasszián	1
Kasztor	1
Katapán	1
Kazimír	1
Kázmér	1
Keán	1
Keled	1
Kelemen	1
Kelemér	1
Kelen	1
Kelén	1
Kelvin	1
Kemal	1
Kemál	1
Kemecse	1
Kemenes	1
Kénán	1
Kende	1
Kenese	1
Kenéz	1
Kerecsen	1
Kerény	1
Keresztély	1
Keresztes	1
Kerim	1
Kerubin	1
Késav	1
Keszi	1
Keszõ	1
Ketel	1
Keve	1
Kevend	1
Kevin	1
Kian	1
Kián	1
Kien	1
Kieran	1
Kilán	1
Kilény	1
Kilián	1
Kilit	1
Kinizs	1
Kirill	1
Kiron	1
Kirtan	1
Kitán	1
Klaudió	1
Klaudiusz	1
Klausz	1
Kleofás	1
Kleon	1
Klétus	1
Kocsárd	1
Kofi	1
Kolen	1
Kolin	1
Kolja	1
Kolos	1
Kolozs	1
Kolta	1
Kolumbán	1
Kolumbusz	1
Kond	1
Konor	1
Konrád	1
Konstantin	1
Kont	1
Koppány	1
Koridon	1
Koriolán	1
Kornél	1
Kornéliusz	1
Koron	1
Korvin	1
Kos	1
Kósa	1
Kovrat	1
Kozma	1
Kötöny	1
Kövecs	1
Kratosz	1
Kresimir	1
Krisna	1
Kristóf	1
Krisztián	1
Krisztofer	1
Krizantusz	1
Krizosztom	1
Krizsán	1
Kund	1
Kunó	1
Kurd	1
Kurszán	1
Kurt	1
Kusán	1
Kusid	1
Kustyán	1
Kücsid	1
Kürt	1
Kventin	1
Laborc	1
Lád	1
Ladomér	1
Lajos	1
Lamar	1
Lambert	1
Lándor	1
Lantos	1
Largó	1
Larion	1
László	1
Latif	1
Laurent	1
Lázár	1
Lázó	1
Leander	1
Leandró	1
Leándrosz	1
Lehel	1
Lél	1
Lemmi	1
Lénárd	1
Lénárt	1
Lennon	1
Lennox	1
Leó	1
Leon	1
Leonárd	1
Leonárdó	1
Leonid	1
Leonidász	1
Leontin	1
Leopold	1
Lestár	1
Levéd	1
Levedi	1
Levente	1
Lévi	1
Levin	1
Lex	1
Liam	1
Liberátusz	1
Libériusz	1
Libor	1
Liboriusz	1
Libóriusz	1
Liem	1
Linasz	1
Lionel	1
Lior	1
Lipót	1
Lívió	1
Liviusz	1
Líviusz	1
Lizander	1
Lóci	1
Loik	1
Loránd	1
Lóránd	1
Loránt	1
Lóránt	1
Lorenzó	1
Lotár	1
Lõrinc	1
Lucián	1
Lúciusz	1
Ludvig	1
Lukács	1
Lukréciusz	1
Lüszien	1
Madocsa	1
Magnusz	1
Magor	1
Mahmud	1
Majlát	1
Majs	1
Majsa	1
Makabeus	1
Makár	1
Malakiás	1
Malik	1
Manaén	1
Manassé	1
Mandel	1
Manfréd	1
Manó	1
Mánóah	1
Manóhar	1
Manszvét	1
Manuel	1
Mánuel	1
Manzur	1
Marcel	1
Marcell	1
Marcián	1
Március	1
Marcselló	1
Marián	1
Marinusz	1
Márió	1
Máriusz	1
Márk	1
Markel	1
Markó	1
Márkó	1
Márkus	1
Márkusz	1
Marlon	1
Marót	1
Marsal	1
Martin	1
Marton	1
Márton	1
Martos	1
Marvin	1
Matán	1
Máté	1
Mateó	1
Mateusz	1
Mattenai	1
Matteó	1
Mátyás	1
Mátyus	1
Mauríció	1
Mauró	1
Max	1
Maxim	1
Maximilián	1
Maximusz	1
Mazen	1
Medárd	1
Medox	1
Megyer	1
Mehdi	1
Melchior	1
Melhior	1
Meliton	1
Melkisédek	1
Memnon	1
Ménás	1
Mendel	1
Ménrót	1
Menyhért	1
Merlin	1
Merse	1
Metód	1
Mihály	1
Mihir	1
Mika	1
Mikáél	1
Mikán	1
Mike	1
Mikeás	1
Mikes	1
Mikió	1
Miklós	1
Mikó	1
Miksa	1
Milad	1
Milán	1
Milen	1
Milián	1
Miló	1
Milorád	1
Milos	1
Milován	1
Miltiádész	1
Milton	1
Mirán	1
Mirkó	1
Miró	1
Miron	1
Misa	1
Misel	1
Miska	1
Miske	1
Misó	1
Mizse	1
Modesztusz	1
Mohamed	1
Móka	1
Monor	1
Monti	1
Mór	1
Mordeháj	1
Morgan	1
Móric	1
Mózes	1
Mózsi	1
Músza	1
Nabil	1
Nader	1
Nadim	1
Naftali	1
Nága	1
Naim	1
Nalu	1
Nándor	1
Napóleon	1
Nárájan	1
Narcisszusz	1
Naren	1
Náron	1
Naróttama	1
Narutó	1
Naszim	1
Nasszer	1
Nátán	1
Nátánael	1
Nataniel	1
Nátániel	1
Navid	1
Názár	1
Nelzon	1
Nemere	1
Némó	1
Nenád	1
Nepomuk	1
Nergál	1
Néró	1
Nesztor	1
Nétus	1
Nétusz	1
Nevin	1
Nien	1
Nikander	1
Nikétás	1
Nikodémus	1
Nikodémusz	1
Nikolasz	1
Nikosz	1
Nil	1
Nilsz	1
Nimái	1
Nimer	1
Nimród	1
Nitái	1
Noam	1
Nodin	1
Noé	1
Noel	1
Nolan	1
Nolen	1
Nónusz	1
Norbert	1
Norik	1
Norisz	1
Norm	1
Norman	1
Norton	1
Norvard	1
Nurszultán	1
Nyék	1
Nyikoláj	1
Obed	1
Oberon	1
Odiló	1
Odin	1
Odisszeusz	1
Odó	1
Ódor	1
Oguz	1
Oktár	1
Oktáv	1
Oktávián	1
Olaf	1
Olavi	1
Oldamur	1
Oleg	1
Olivér	1
Omár	1
Ompoly	1
Omri	1
Ond	1
Orbán	1
Orbó	1
Orda	1
Óren	1
Oresztész	1
Orfeusz	1
Orion	1
Orlandó	1
Ormos	1
Oros	1
Oszama	1
Oszkár	1
Oszlár	1
Osszián	1
Oszvald	1
Otelló	1
Otmár	1
Otniel	1
Ottó	1
Ottokár	1
Oven	1
Ovídiusz	1
Ozán	1
Ozirisz	1
Ozmin	1
Ozor	1
Ozul	1
Ozsvát	1
Ödön	1
Ömer	1
Örkény	1
Örkönd	1
Örs	1
Õze	1
Özséb	1
Pál	1
Palkó	1
Pálos	1
Pamfil	1
Pantaleon	1
Páris	1
Parker	1
Paszkál	1
Patony	1
Patrícius	1
Patrik	1
Pázmán	1
Pázmány	1
Pelágiusz	1
Pelbárt	1
Pellegrin	1
Peng	1
Pentele	1
Penton	1
Peregrin	1
Periklész	1
Perjámos	1
Péter	1
Petõ	1
Petres	1
Petrik	1
Petróniusz	1
Petur	1
Petúr	1
Piládész	1
Pió	1
Piramusz	1
Piusz	1
Placid	1
Platón	1
Polidor	1
Polikárp	1
Pongor	1
Pongrác	1
Porfir	1
Pósa	1
Prahlád	1
Preszton	1
Prímusz	1
Principiusz	1
Rabán	1
Radamesz	1
Radiszló	1
Radó	1
Radomér	1
Rados	1
Radován	1
Radvány	1
Rafael	1
Ráfis	1
Ragnar	1
Rahim	1
Raid	1
Rajan	1
Rájen	1
Rajka	1
Rajmond	1
Rajmund	1
Rajnald	1
Rajnáld	1
Ralf	1
Rami	1
Ramiel	1
Ramirez	1
Ramiró	1
Ramiz	1
Ramón	1
Ramszesz	1
Ramzi	1
Randolf	1
Rápolt	1
Rasid	1
Rasszel	1
Rátold	1
Raúf	1
Raul	1
Raúl	1
Raziel	1
Razmus	1
Rázsony	1
Redmond	1
Reginald	1
Regõ	1
Regös	1
Regõs	1
Reinhard	1
Remig	1
Rémus	1
Rémusz	1
Renátó	1
Renátusz	1
René	1
Réva	1
Rézmán	1
Rezsõ	1
Richárd	1
Rihárd	1
Rikárdó	1
Rikó	1
Rinaldó	1
Róbert	1
Robertó	1
Robin	1
Robinzon	1
Rodel	1
Roderik	1
Rodion	1
Rodrigó	1
Rodzser	1
Rokkó	1
Rókus	1
Roland	1
Rolf	1
Rollan	1
Román	1
Románó	1
Romárió	1
Romed	1
Rómeó	1
Romuald	1
Romulusz	1
Romvald	1
Ron	1
Ronald	1
Ronaldó	1
Ronel	1
Ronen	1
Roni	1
Ronin	1
Roszánó	1
Rua	1
Ruben	1
Rúben	1
Rudolf	1
Rúfusz	1
Ruga	1
Rupert	1
Rurik	1
Rusdi	1
Ruszlán	1
Rusztem	1
Ruven	1
Salamon	1
Sámson	1
Samu	1
Sámuel	1
Sándor	1
Sarel	1
Sas	1
Saul	1
Sebes	1
Sebestyén	1
Sebõ	1
Sebõk	1
Sejbán	1
Sém	1
Semjén	1
Sét	1
Simeon	1
Simó	1
Simon	1
Sion	1
Sjám	1
Slomó	1
Sobor	1
Solt	1
Solymár	1
Sólyom	1
Som	1
Soma	1
Spartakusz	1
Srídhara	1
Stefán	1
Surány	1
Surd	1
Suriel	1
Sükösd	1
Szabin	1
Szabolcs	1
Szahel	1
Szaid	1
Szaján	1
Szalárd	1
Szaléz	1
Szalók	1
Szalvátor	1
Szalviusz	1
Szamir	1
Szandró	1
Szaniszló	1
Szantiágó	1
Szantínó	1
Szatmár	1
Szavér	1
Szebáld	1
Szebasztián	1
Szecsõ	1
Szedrik	1
Szelemér	1
Szelestény	1
Szelim	1
Szemere	1
Szemír	1
Szendrõ	1
Szente	1
Szepes	1
Szeráf	1
Szerafin	1
Szerénd	1
Szerénusz	1
Szergej	1
Szergiusz	1
Szermond	1
Szervác	1
Szevér	1
Szeveréd	1
Szeverián	1
Szeverin	1
Szidor	1
Szigfrid	1
Szilamér	1
Szilárd	1
Szilas	1
Szilász	1
Szilvánusz	1
Szilver	1
Szilvér	1
Szilveszter	1
Szilvió	1
Szilviusz	1
Szindbád	1
Szinisa	1
Szíriusz	1
Szixtusz	1
Szkott	1
Szofron	1
Szókratész	1
Szólát	1
Szolón	1
Szórád	1
Szoren	1
Szorin	1
Szotirisz	1
Szovárd	1
Szovát	1
Szörénd	1
Szörény	1
Szpartakusz	1
Sztefán	1
Szulejmán	1
Szven	1
Tacitusz	1
Taddeus	1
Tádé	1
Tadeusz	1
Takin	1
Taksony	1
Talabér	1
Talabor	1
Talamér	1
Táltos	1
Tamás	1
Tamerlán	1
Tankréd	1
Tar	1
Taráz	1
Tarcal	1
Tarcsa	1
Tardos	1
Tarek	1
Tarján	1
Tárkány	1
Tarsa	1
Tarzíciusz	1
Tas	1
Tasnád	1
Tasziló	1
Tege	1
Tegze	1
Temes	1
Tenger	1
Teó	1
Teobald	1
Teodor	1
Teofil	1
Terenc	1
Terestyén	1
Tétény	1
Tézeusz	1
Tibád	1
Tibériusz	1
Tibold	1
Tibor	1
Tiborc	1
Ticián	1
Tihamér	1
Timó	1
Timon	1
Timor	1
Timót	1
Timóteus	1
Timóteusz	1
Timoti	1
Timur	1
Timuzsin	1
Tirzusz	1
Titán	1
Titusz	1
Tivadar	1
